commit	score	processing_time	status	description
ba74204	24426.7	20.469	keep	baseline
a1b2c3d	32183.4	15.531	keep	replace manual dict counting with collections.Counter and combine counting loops
e4f5a6b	29841.2	16.751	discard	early exit on empty lines to skip strip() call
c7d8e9f	65047.8	7.688	keep	replace datetime.strptime with integer string slicing for timestamp arithmetic
d0e1f2a	95312.1	5.246	keep	parse rows as tuples instead of dicts to reduce per-row allocation overhead
f3a4b5c	140284.6	3.564	keep	single-pass pipeline combining all 9 aggregations into one loop over parsed tuples
a6b7c8d	128938.8	3.878	discard	attempt to use heapq.nlargest for top routes instead of full sort
b9c0d1e	135421.3	3.691	discard	precompute fare-per-mile outside inner condition using multiplication trick
e2f3a4b	152837.9	3.272	keep	use array-based accumulation for numeric fields instead of dict defaultdict
c5d6e7f	0.0	0.000	crash	attempt numpy vectorized parsing — ImportError on np.datetime64 format string
a8b9c0d	158934.2	3.144	keep	eliminate intermediate distances list by computing p50/p95 with partial sort via bisect
f1e2d3c	175241.6	2.852	keep	combine distance and duration accumulation arrays and compute percentiles in one sorted pass
